"mGeneSym"	"BC_E_1"	"BC_E_2"	"BC_EP_1"	"BC_EP_2"	"LP_E_1"	"LP_E_2"	"LP_EP_1"	"LP_EP_2"	"LM_E_1"	"LM_E_2"	"LM_EP_1"	"LM_EP_2"
"Ighg;Igh-1a"	7641513.51	4631870.352	10846087.42	2225964.0175	164915945.5	195322292.7	207224431.8	187418883.2	264543979.4	365961600.3	65916347.42	97768341.99
"Impa2"	23536621.53	23907370.03	6578197.252	23300028.12	42834974.23	22428312.32	32194411.72	14863085.79	1565996.703	352848.2421	0	0
"Inf2"	13591124.22	8889305.519	16620857.435	19899087.495	0	0	714440.541	1370489.654	26814311.59	30183969.48	12209745.31	16231491.65
"Iqgap2"	48326000	13924000	28765000	12145400	186290000	199490000	123670000	98751000	235500000	346090000	318460000	246090000
"Isca2"	0	0	0	0	11878543	8556510.024	24789682.03	7211425.223	7398831.784	4444594.291	12820060.63	7175003.214
"Itga1"	14024581.5	7803370.448	2636945.776	2080544.362	0	0	0	0	0	0	2259984.376	1580816.996
"Itgb5"	3688208.355	3766141.148	2084543.424	2291586.802	0	0	0	0	4133149.073	5460936.521	10281856.31	3672565.306
"Itprip"	3349085.349	4029925.623	2560819.248	3367551.009	0	5541072.427	2286818.729	1282545.444	0	0	0	0
"Jmy"	1657400.913	2316969.864	4459737.255	6772177.564	0	1440148.064	2179869.023	3549654.606	1245499.803	2000732.899	0	0
"Jun"	16239908.55	24135001.31	39437483.445	40439752.195	5141750.52	9975563.498	0	0	9418816.119	12175778.09	25876583.66	28187334.34
"Kctd1"	19143089.73	9280904.345	13482154.479	4849777.01	3334616.942	9025490.39	8551476.552	8314482.192	5166870.72	0	0	0
"Kiaa1598"	0	0	490432.2564	481287.5771	22329410.45	14845147.5	15973456.2	18394225.83	9333926.14	10797895.52	14195931.13	6902439.952
"Klhdc7a"	0	0	0	0	18727148.49	27044625.14	14225960.99	6169774.913	0	0	169371.918	339116.6203
"Klhl22"	1220995.679	144527.599	1518752.856	2554993.946	0	0	0	0	0	0	2060694.398	694037.9161
"Krt18"	141960000	134520000	111320000	39510500	2619100000	2482100000	1661100000	1661700000	9803400000	1e+10	4349900000	4.89e+09
"Krt19"	673450000	593360000	550495000	419130000	5026100000	3459600000	2577600000	2916900000	2.49e+10	2.38e+10	1.1e+10	9633500000
"Krt23"	47976188.08	33912190.52	63706684.34	74406860.69	0	0	621628.2955	1544320.9	0	0	0	0
"Krt35"	328586827.9	4168695.49	4037725.936	7778672.408	5514382.076	3016798.538	2526368.073	3996678.626	0	92349582.55	0	0
"Lama5"	22434963.08	38698533.64	5831327.902	10396968.4195	0	133286.5063	255884.2984	461218.5238	8537648.216	103630625.8	2284547.643	4932995.669
"Lbh"	49718751.89	42246903.48	54889611.6	35666466.395	0	0	56871594.06	41207262.49	0	0	0	0
"Ldhd"	0	0	2585006.253	1817392.4255	79328385.53	66487425.36	23934684.37	24026769.62	15459408.25	10969732.01	234006062.8	158126627.6
"Leprel1"	0	2734618.471	1023739.774	1772404.82835	186412290.2	2494741.463	0	0	2943150.437	2180956.11	590550.08	1442937.925
"Lgals7"	1478122105	2010458877	1567732845	2185129797.5	0	23012156.13	40972387.65	19910363.44	306596786.7	292673562.3	337319166.4	274719805.8
"Lpcat3"	3539282.476	3170039.36	21437865.7005	17216698.9955	13129907.09	1725129.168	1298246.44	2656532.296	19459165.88	15304387.41	28537604.31	35976353.69
"Lpgat1"	0	0	475445.229	183417.29765	0	0	0	0	11212427.18	14350854.38	15526605.21	14950044.96
"Lrba"	476115.1621	1480577.096	872795.44155	530147.7513	7337522.568	10833228.69	6879206.137	6156917.573	10856484.99	10581846.45	10261386.92	9047003.635
"Lrch4"	0	0	0	0	0	482399.2466	385746.4423	889511.9696	785058.5469	734931.4787	1130909.216	744507.0474
"Lrrc20"	0	0	5863591.448	1669192.304	0	0	0	0	0	0	5235087.349	3259776.733
"Mafg;Mafk"	6562237.619	4628218.513	1920139.3245	6037930.663	4544080.577	3004958.349	2087019.277	3297856.447	0	0	0	0
"Mal2"	0	0	0	0	178665414.3	228747010.6	395196416.4	433683243	42056282.35	156065826.3	86759098.77	93245588.97
"Man1b1"	0	4512455.23	1064008.2255	262184.60975	0	0	0	0	305509.5993	427617.6292	7197364.921	3220090.324
"Map1b"	19596199.99	17088170.09	7464746.339	5898675.0225	2314034.9	253842.7678	846372.6792	198219.0493	3535791.7	8148331.707	31411506.63	25923461.83
"Map2"	20094075.36	24647475.99	20876435.645	26757655.4	23687879.63	17384663.93	12371966.08	14806513.49	84964.44309	439609.72	921400.9193	996203.744
"Map2k6"	22508115.82	10232330.03	25825316.43	34643753.29	2409511.437	0	7778978.67	7655466.34	0	0	0	0
"Map7d1"	7062733.389	6507454.657	8885690.6805	4217847.8785	0	0	0	0	10022478.19	9901793.254	3341914.437	7144052.807
"Mapk13"	1728697.54	735102.9373	0	0	35516518.72	20747549.83	13318463.48	12038585.2	5545648.809	6121390.324	14091619.12	9844725.414
"Marc2"	68250415.72	39441074.16	92917096.83	58937540.11	69580645.34	77291938.19	172687026.5	149453727.7	11297813.59	8463745.118	3723791.37	1270314.526
"Mcam"	47386598.82	55440996.34	2568387.6955	7777430.01	2517087.319	1407485.473	1361021.268	1669294.251	0	0	0	0
"Med19"	1854149.032	0	0	0	12261767.37	7152835.187	16823953.87	7272523.306	6891477.645	9611904.629	6957463.674	186161.7059
"Mltk"	9509637.991	19281707.81	19946247.37	24417928.92	0	993487.1354	0	0	3218521.612	3414167.85	1029397.419	2408490.782
"Mphosph6"	0	0	6324812.2005	7375685.1755	2678333.444	582605.3531	0	0	0	0	15888012.76	14050486.36
"Mst4"	63900557.19	38260313.01	31689747.755	37774833.005	21777878.09	24815403.32	17216952.79	25655023.24	14088261.35	0	0	0
"Myh10"	739380000	810590000	1105240000	917285000	1887900	3055100	38586000	24931000	30405000	4989800	335290000	254960000
"Naa40"	2844003.885	0	1976148.202	2973453.2705	0	2568776.669	28391172.15	23604020.26	10328777.11	6898984.657	14767436.49	19611076.41
"Nadk2"	1675743.69	2646730.889	3102578.379	5589288.592	0	2949023.663	2475743.211	2020453.939	0	0	0	0
"Naprt1"	26063120.68	13181920.07	17364100.045	12796417.3355	750747.8338	0	95849.73718	135269.5095	5561038.221	1519545.128	585015.157	1711158.145
"Ncor1"	346132.5674	0	71920.40505	48708.68022	0	0	0	0	611555.3458	644956.6127	375916.2476	334389.1952
"Ndrg2"	27175697.44	55600459.96	195270108.95	173553783.9	0	0	0	0	0	0	41125460.19	16551478.92
"Nes"	4393859.35	6067408.105	2168029.936	1346360.0953	0	0	99907.22605	482890.8572	0	0	0	0
"Nf1"	1593310.377	1255502.111	710912.5989	427927.12755	0	0	100424.7246	71887.96304	0	0	0	0
"Nfib"	139050000	131030000	161140000	176900000	174830000	204990000	205350000	158080000	34004000	12236000	26948000	24627000
"Nfic"	2971093.125	10511087.04	31879043.59	25315092.79	14820519.74	13948287.19	30891665.29	29681942.33	4991133.572	3361842.041	6964505.144	3211054.802
"Nfix"	72623202.71	90362311.59	95908676.135	72143846.675	50111058.49	34593766.43	60367334.47	53172817.99	590854.1055	797512.7811	2848192.757	2195631.854
"Npepl1"	48230584.93	46944385.2	47178803.65	50247616.86	17903733.97	46126382.85	51896857.7	51345018.44	4479063.323	1716131.55	2937111.786	6027342.155
"Nptn"	65813446.78	68420848	58959414.035	74099257.77	48340882.06	71080602.18	36138650.91	58309582.72	5883719.424	10477924.11	3513693.555	2266967.55
"Nr2f6"	0	0	0	0	0	3233324.296	19203697.34	1859685.751	0	2082913.589	2434383.576	2413981.983
"Nr3c1"	3275714.241	0	6118377.491	2572741.67885	0	1559638.708	752172.9375	3171237.356	0	0	0	0
"Nradd"	60785560.62	41202477.64	41702173.385	45123489.505	14545577.44	0	0	0	0	0	18191556	23943134.98
"Nrbp1"	6929420.707	17408314.6	14352319.984	17499637.9185	0	0	0	0	16434401.92	27206685.66	12138020.57	23211806.82
"Nsun5"	0	0	404389.26685	295689.37955	0	0	368428.9898	486274.9092	0	0	0	0
"Nudt16"	9517280.814	10824293.07	4734537.634	7916373.031	0	3220803.636	0	0	2495070.353	2305981.975	4679138.725	7225422.425
"Nudt7"	0	0	7452673.579	4243339.1045	0	4013279.745	3929764.224	4782210.71	6695883.192	3153769.466	0	0
"Oplah"	7385042.183	7095400.671	1898501.949	543588.28695	15066508.36	18789155.33	13734712.34	14886743.3	37775047.43	40748039.73	38325247.68	39299528.84
"Ormdl1"	0	0	0	0	31510082.16	18080104.92	16775954	22576461.59	73983353.51	72604338.4	52657095.56	53369484
"Osbpl3"	3406515.71	2524759.48	249005.53965	325379.93445	2057453.475	2903432.13	5459835.029	5077929.545	29501004.94	29951055.82	73596462.43	59764237.44
"Osbpl5"	628578.5767	705876.0557	869855.5064	585707.4205	0	675925.0968	0	0	2614462.399	1926938.923	2043991.376	1633033.327
"P2rx4"	0	0	3307861.019	580052.405	15926409.22	17249930.74	4359363.047	17035462.07	1807362.243	3957298.804	0	0
"P2rx7"	17880931.98	18556209.2	8833710.5275	7742639.885	0	0	9075725.114	1505748.878	0	1267123.239	0	0
"Pald1"	4020780.37	1447710.549	1427018.588	1185722.1375	23840886.9	25731316.81	33283408.74	26019143.12	1100640.764	0	11955269.86	7566875.302
"Palld"	539343150.8	653496517.4	186754355	188445574.95	31375906.55	30216979.27	8624226.352	19525671.8	0	487888.027	124062.5145	199774.8929
"Palm2"	40552822.6	54962605.48	23573205.03	28712783.42	11375972.96	30270055.98	12923214.56	15127432.71	2959632	2539579.335	0	0
"Pc"	5174500	3159700	38404500	20200500	134480000	338910000	369220000	394570000	305250000	336600000	519430000	438300000
"Pcbd1"	37957538.03	2948737.941	7653543.996	14205093.191	10110955.92	0	3931789.219	6320668.663	0	0	0	0
"Pdk3"	2817690.735	10157223.88	14668491.225	19014229.48	0	4698921.962	0	0	0	5288188.425	715118.5978	3175961.034
"Pdk4"	17012925.57	23652958.61	13416751.8	10979984.6605	1482499.226	2856751.844	0	0	22481447.68	19192359.08	5817891.812	805359.5411
"Pdlim3"	1432592713	1391350506	1219053868	1006580660.25	168891780.6	186408127.3	135914627.3	165674548.7	4717301.338	1072451.176	0	0
"Pdp1"	1227655.854	1084705.619	1117218.86805	2693964.693	0	0	1030947.173	111941.1506	0	0	0	0
"Pgr"	0	1729023.849	543436.022	2059863.33	153967.6867	0	0	0	70389181.33	97258545.6	54088315.29	82083474.46
"Phactr4"	332954.1557	0	1622630.023	983368.7495	4206287.6	7745661.209	5656109.491	7845343.547	4858784.635	7216677.067	7825038.286	5574068.454
"Phip"	2612863.06	2590249.119	5132980.963	3478564.9525	3638277.528	1981802.694	10248721.9	5387328.591	2237372.18	853621.7274	420555.8926	921273.8072
"Pir"	26856882.51	11404205.04	4579109.254	8359749.8255	521354.624	0	0	0	48169850.08	39361041.17	5408340.263	10392847.14
"Pkn1"	0	0	214932.2758	326781.33375	4092120.635	5982833.967	5932033.734	3978986.925	3439583.058	3272322.975	3285910.186	3027598.761
"Plac8"	0	0	35658985.78	16665823.02	28023870.32	0	230166868.9	165335114.9	118999863.6	215260536.7	1704527017	1203671311
"Plekha6"	0	0	0	0	3695478.708	1402586.085	6400257.45	4328192.297	526168.935	1645664.912	3956814.902	4758674.99
"Pml"	5979090.17	766618.3044	8702668.401	7951334.689	6436192.039	5499699.812	5295810.479	3603244.002	790370.3759	685021.4087	762754.9615	335028.1713
"Pnpo"	0	5479949.003	226139.62785	77462.79235	52945223.96	60797329.86	27584174.36	26055143.68	20775705.19	4836035.096	18461751.94	18009143.25
"Pola1"	4993711.828	579230.2931	11506051.127	6272351.872	1603445.59	3246797.615	24081683.97	18900290.75	2223918.856	5472787.314	354054.9394	1132086.015
"Ppap2b"	47204262.89	55960774.7	46963858.82	45117467.84	19706395.02	25263153.01	7514979.394	3565906.285	0	0	0	0
"Ppap2c"	0	0	0	0	7746405.078	8971324.927	5217360.694	8559594.534	9266907.737	3651457.187	3445407.671	8853813.191
"Prim1"	2566678.568	1684349.69	12557658.1435	13375159.945	1482546.305	6087762.54	27944923.37	20680775.29	9188471.382	8680249.988	1798194.945	2943583.382
"Psat1"	76770000	66991000	181030000	178135000	152770000	94550000	304180000	312470000	40136000	41024000	16498000	17988000
"Ptdss2"	4080285.212	1415696.097	0	0	0	0	4479362.717	3239946.985	3726967.902	3488599.945	4410416.578	4916372.306
"Pter"	9288323.653	8592532.769	10865234.6995	13159935.91	37281987.24	16167982.42	9629973.594	7710804.334	1236315.799	784431.329	756041.0017	1094246.646
"Ptprg"	306280.701	0	675023.46355	308857.17625	3760918.741	2113677.904	751047.9406	1076313.7	0	0	0	0
"Pvrl1"	23082419.43	24289595.81	18723531.065	12851720.59	0	0	0	0	0	0	406292.8219	293025.4739
"Pvrl2"	0	307496.9829	0	0	11334543.3	4369165.89	10382221.53	3288599.162	4105497.776	4144176.692	6143109.475	5984910.146
"Pyroxd2"	0	0	0	0	2748245.997	3296744.16	8557476.535	4839297.303	13650904.21	10366253.18	20043626.37	14219715.2
"Rab21"	43538983	43952312.11	28535418.285	21981432.67	1547986.339	10237000.32	31127164.65	28328321.51	16344547.61	31432404.93	3478813.715	4572623.108
"Rab33b"	3640932.031	0	951958.282	2137198.1125	0	0	0	0	8030790.51	2420615.607	833529.9232	1344295.982
"Rab3ip"	1585885.919	929685.0707	0	0	9013776.08	11115351.82	4557437.503	6772115.608	40538191.4	51765174.92	24733572.94	34296046.11
"Rab4b"	0	0	760380.176	931389.576	0	1918927.207	0	0	8158373.694	3779764.81	8012046.631	6281934.213
"Rars2"	3032126.532	6193639.993	2206960.90465	1465450.1045	5472717.019	3716458.451	11183969.33	9939855.768	11603119.65	7193887.08	8946597.086	10275035.91
"Rbm47"	0	0	0	0	36790010.01	36998549.68	48272867.63	53358992.28	37396765.77	36425235.13	50841051.31	40219554.64
"Rbms2"	0	4184885.307	6256773.099	1442422.566	0	0	0	0	11184130.52	11198999.28	21297990.57	8195368.243
"Rbp1"	1010300000	1041700000	1078400000	1349950000	226590000	247200000	475480000	729180000	13391000	6516000	43217000	31462000
"Rilpl1"	3632306.559	2976735.371	2359227.2695	308594.993	0	0	0	0	0	0	7403205.104	2168175.848
"Rin2"	0	0	1166176.1435	714246.587	846036.0547	6453583.556	0	0	1018381.879	876320.5538	1395209.976	1709460.864
