"mGeneSym"	"BC_E_1"	"BC_E_2"	"BC_EP_1"	"BC_EP_2"	"LP_E_1"	"LP_E_2"	"LP_EP_1"	"LP_EP_2"	"LM_E_1"	"LM_E_2"	"LM_EP_1"	"LM_EP_2"
"Tgfbi"	3299079.445	5927786.143	290171.54955	685976.96895	0	3484962.339	0	0	3133482.704	3498809.859	471696.6158	2575622.979
"Tgm1"	443927.9559	2058419.691	0	0	12521408.94	28375625.72	3019566.72	2693972.872	14661641.03	16020904.58	31953536.06	23492357.28
"Tjp3"	0	0	0	0	11724123.35	20135126.26	41049637.44	29702514.07	5172827.911	2622626.045	7935736.746	4157787.815
"Tln2"	19556894.04	14401634.16	18333334.13	16701439.65	1767398.766	3126218.217	7952978.193	4961699.186	0	0	0	0
"Tns3"	21800608.71	40697306.63	64717123.285	40138839.06	397418.7338	436426.6501	2248643.834	1644916.733	0	0	0	0
"Tpk1"	0	0	6153623.2825	2950199.268	88391123.94	70802970.16	137032124.3	58104893.86	53128219.1	51929262.82	89307128.39	53943564.13
"Tppp3"	432965963.1	477587452.1	166055581.65	72677249.115	55965352.11	100022379.5	9439474.117	15049260.08	48226443.4	30313416.6	92657558.1	89656340.16
"Trim29"	174791378.2	189725188.1	116071157.995	126076497.95	606261.89	0	0	0	0	0	16310992.23	3127838.143
"Trip6"	21635742.09	12796042.45	20178486.315	3279542.0015	3672880.711	6864043.447	21636690.67	9832162.682	7091539.991	2872996.835	187204.8502	233361.0765
"Trps1"	8962200	1898000	20809000	21608000	283750000	138990000	118100000	178460000	131960000	136490000	148090000	112130000
"Ubr7"	0	0	6545474.7825	6610763.707	0	2960319.475	15477707.56	11324745.64	0	2441627.974	0	0
"Ugt1a6"	170784354.9	166913369.6	272121549.25	268524690.45	0	0	0	0	0	0	2409165.288	1387027.512
"Uqcc"	0	0	2871553.907	3096024.171	0	0	21254941.72	22264799.66	14335981.23	11322976.8	20053451.68	23807352.55
"Urm1"	4793033.114	0	4949060.7875	8658082.274	12732323.58	7912104.327	40228389.69	55745314.71	52060888.97	34979438.4	43840520.04	50229515.3
"Vgll4"	0	788285.8801	6289981.497	6365326.9335	0	21753285.44	23869434.55	38690309.48	0	0	0	0
"Vps37b"	0	0	0	0	0	0	1071672.061	5801643.536	6169168.181	11836207.29	11470390.96	14059471.96
"Vps54"	0	0	2451818.91645	5503255.093	0	0	0	0	9728093.642	0	5018111.819	9650037.37
"Wasl"	7034454.941	15477709.27	13156064.212	10409422.9515	3091923.869	1521940.635	884622.5743	1479417.044	15764714.31	4181050.889	11713239.79	14871171.34
"Wdr91"	944183.5226	0	1636478.8177	1413494.20005	0	0	0	0	0	0	476298.1346	643219.3447
"Wfs1"	1188895.819	5324502.406	2089712.3105	444648.642	693240.6392	0	0	0	10767623.55	12618359.62	6062378.202	10618485.59
"Wrnip1"	3343735.372	4127307.985	4255761.439	4108661.8525	3141827.78	1304829.672	3960664.14	3927557.563	0	0	0	0
"Yipf2"	0	0	255299.0338	871823.05375	0	473199.2835	0	0	8097808.914	7320143.605	7050149.071	10708341.61
"Zbtb7a"	5208693.54	0	818484.374	1048279.0165	1949289.103	7819015.944	6753506.482	4747547.32	7526414.967	9712180.568	8807896.501	5836148.512
"Zdhhc20"	0	5395591.531	3998042.141	1948101.4295	0	0	0	0	9642707.231	7617325.026	916881.278	4139816.611
"Zdhhc5"	1528455.558	3028104.567	2610918.278	1815208.6355	2499903.425	0	0	0	4231293.802	2494910.962	1723031.346	2436845.348
"Zfp36l1"	115275618.2	41548185.03	122250243.5	76832867.925	2382676.316	8648237.467	16583204.53	34769334.88	15997541.21	3508655.133	0	0
"Zfp91"	0	0	11236453.706	11325203.5815	0	0	0	0	19866737.06	0	16657170.55	26787577.22
